INSTITUICAO_ENSINO_ALUNO_2024,NOME,IDADE_ALUNO_2024,ANOS_PM_2024,FASE_TURMA_2024,PONTO_VIRADA_2024,INDE_2024,INDE_CONCEITO_2024,PEDRA_2024,DESTAQUE_IEG_2024,DESTAQUE_IDA_2024,DESTAQUE_IPV_2024,IAA_2024,IEG_2024,IPS_2024,IDA_2024,IPP_2024,IPV_2024,IAN_2024
,Aluno-48,17,,7A,,"8,402390372",,Topázio,,,,"7,9","8,3","9,4","7,5","8,6","8,2",10
,Aluno-1230,17,,7E,,"4,7612",,Quartzo,,,,"7,9","0,0","7,2","0,0","7,5","7,5",10
,Aluno-90,15,,7E,,"8,352033333",,Topázio,,,,"10,0","9,0","6,9","8,1","7,5","7,5",10
,Aluno-269,15,,7E,,"8,4773",,Topázio,,,,"9,2","9,6","7,5","8,2","7,5","7,5",10
,Aluno-270,15,,7E,,"4,79255",,Quartzo,,,,"9,2","0,0","6,3","0,0","7,5","7,5",10
,Aluno-76,16,,7E,,"8,152033333",,Topázio,,,,"10,0","9,0","6,9","7,1","7,5","7,5",10
,Aluno-153,16,,7E,,"4,78185",,Quartzo,,,,"8,8","0,0","6,6","0,0","7,5","7,5",10
,Aluno-1226,17,,7E,,"7,785233333",,Ametista,,,,"8,3","9,0","6,9","6,1","7,5","7,5",10
,Aluno-93,17,,7E,,"8,27555",,Topázio,,,,"9,2","9,9","6,3","7,5","7,5","7,5",10
,Aluno-119,16,,7E,,"8,0853",,Topázio,,,,"7,1","10,0","6,6","7,4","7,5","7,5",10
,Aluno-241,16,,7E,,"8,311616667",,Topázio,,,,"10,0","9,9","7,2","6,8","7,5","7,5",10
,Aluno-242,15,,7E,,"8,2887",,Topázio,,,,"9,6","9,6","6,3","7,7","7,5","7,5",10
,Aluno-52,15,,7E,,"8,144466667",,Topázio,,,,"8,8","9,4","6,9","7,2","7,5","7,5",10
,Aluno-1227,17,,7E,,"4,8446",,Quartzo,,,,"8,8","0,0","7,2","0,0","7,5","7,5",10
,Aluno-245,16,,7E,,"8,452633333",,Topázio,,,,"9,2","10,0","6,9","8,0","7,5","7,5",10
,Aluno-246,15,,7E,,"4,7404",,Quartzo,,,,"8,3","0,0","6,6","0,0","7,5","7,5",10
,Aluno-1228,18,,7E,,"4,8761",,Quartzo,,,,"8,8","0,0","7,5","0,0","7,5","7,5",10
,Aluno-1229,17,,7E,,"4,8238",,,,,,"9,2","0,0","6,6","0,0","7,5","7,5",10
,Aluno-98,16,,7E,,"8,61745",,,,,,"9,6","9,5","7,2","8,9","7,5","7,5",10
,Aluno-277,16,,7E,,"8,068983333",,,,,,"8,3","9,7","6,6","6,9","7,5","7,5",10
,Aluno-172,16,,7E,,"8,128766667",,,,,,"8,8","9,8","6,6","6,9","7,5","7,5",10
,Aluno-291,15,,7E,,"7,931966667",,,,,,"8,8","9,7","6,3","6,2","7,5","7,5",10
,Aluno-86,18,,7E,,"7,611233333",,,,,,"6,7","9,7","6,6","5,5","7,5","7,5",10
,Aluno-143,15,,7E,,"7,449366667",,,,,,"10,0","9,9","6,9","2,6","7,5","7,5",10
,Aluno-166,16,,7E,,"8,243183333",,,,,,"8,3","9,2","6,6","8,3","7,5","7,5",10
