NOME,FASE_2023,TURMA_2023,INSTITUICAO_ENSINO_ALUNO_2023,PEDRA_2023,INDE_2023,IAA_2023,IEG_2023,IPS_2023,IDA_2023,IPP_2023,PONTO_VIRADA_2023,IPV_2023,IAN_2023,NIVEL_IDEAL_2023,DEFASAGEM_2023
Aluno-571,FASE 1,1J,Privada,Agata,"6,6097","9,0","7,9","3,77","5,0","7,29",,"7,62",5,Fase 3 (7° e 8° ano),-2
Aluno-714,FASE 1,1J,Pública,Agata,"6,078666667","0,0","8,0","3,14","7,4","7,50",,"7,22",5,Fase 3 (7° e 8° ano),-2
Aluno-737,FASE 1,1J,Pública,Topázio,"8,048033333","9,5","7,8","7,52","7,5","7,29",,"7,78",10,Fase 1 (3° e 4° ano),0
Aluno-577,FASE 1,1J,Pública,Ametista,"7,219366667","10,0","8,2","3,77","7,4","6,88",,"7,67",5,Fase 2 (5° e 6° ano),-1
Aluno-1053,FASE 1,1J,Pública,Ametista,"7,776166667","0,0","9,1","6,27","8,6","8,96",,"8,62",10,Fase 1 (3° e 4° ano),0
Aluno-731,FASE 1,1J,Pública,Agata,"6,7742","8,5","7,6","3,14","6,8","7,50",,"7,45",5,Fase 2 (5° e 6° ano),-1
Aluno-552,FASE 1,1J,Pública,Quartzo,"5,248666667","0,0","5,6","3,14","6,4","6,67",,"6,89",5,Fase 3 (7° e 8° ano),-2
Aluno-1054,FASE 1,1J,Pública,Ametista,"7,459533333","8,5","8,6","7,52","6,6","7,50",,"7,84",5,Fase 3 (7° e 8° ano),-2
Aluno-1055,FASE 1,1J,Pública,Quartzo,"5,9765","0,0","7,2","7,52","5,5","7,29",,"7,28",5,Fase 2 (5° e 6° ano),-1
Aluno-597,FASE 1,1K,Pública,Topázio,"8,49045","10,0","9,6","7,52","8,5","9,06",,"8,56",5,Fase 2 (5° e 6° ano),-1
Aluno-624,FASE 1,1K,Pública,Topázio,"8,270825","9,0","9,2","7,52","8,6","8,91",,"8,39",5,Fase 2 (5° e 6° ano),-1
Aluno-776,FASE 1,1K,Privada - Programa de Apadrinhamento,Quartzo,"5,567916667","0,0","7,0","7,52","3,5","7,81",,"7,22",5,Fase 2 (5° e 6° ano),-1
Aluno-600,FASE 1,1K,Pública,Ametista,"7,651658333","8,5","8,4","7,52","7,2","8,28",,"8,06",5,Fase 2 (5° e 6° ano),-1
Aluno-1056,FASE 1,1K,Pública,Topázio,"8,551741667","8,5","9,6","7,52","8,1","7,97",,"8,11",10,Fase 1 (3° e 4° ano),0
Aluno-791,FASE 1,1K,Pública,Agata,"6,247916667","0,0","8,1","7,52","5,3","7,81",,"7,72",5,Fase 3 (7° e 8° ano),-2
Aluno-601,FASE 1,1K,Pública,Topázio,"8,955783333","9,0","10,0","7,52","8,7","9,06",,"8,34",10,Fase 1 (3° e 4° ano),0
Aluno-762,FASE 1,1K,Pública,Ametista,"7,09945","10,0","9,1","3,14","5,8","7,81",,"7,67",5,Fase 3 (7° e 8° ano),-2
Aluno-778,FASE 1,1K,Pública,Ametista,"7,926825","8,5","7,9","7,52","8,2","8,91",,"8,62",5,Fase 2 (5° e 6° ano),-1
Aluno-628,FASE 1,1K,Pública,Topázio,"8,370325","9,5","8,9","7,52","9,4","8,28",,"8,45",5,Fase 3 (7° e 8° ano),-2
Aluno-606,FASE 1,1K,Pública,Ametista,"7,402491667","8,5","8,5","7,52","6,0","7,66",,"8,22",5,Fase 2 (5° e 6° ano),-1
Aluno-766,FASE 1,1K,Pública,Topázio,"8,008408333","10,0","8,7","4,39","8,7","9,22",,"8,34",5,Fase 2 (5° e 6° ano),-1
Aluno-607,FASE 1,1K,Pública,Ametista,"7,333075","8,0","7,5","7,52","6,8","7,97",,"8,17",5,Fase 2 (5° e 6° ano),-1
